parameter,group_id,old_value,new_value,direction,legal,medium_power,medium_q,delta_power,delta_q,formal_power,formal_q,active,reject_reason,delta_power_from_geometry,delta_q_from_geometry
w1,1,6.173283002455718,6.073283002455718,-,True,42.00663347713536,0.6916225489808505,-0.006223866265422373,0.0003645560190919106,42.08010775356239,0.6928322737824024,True,,-0.02754671878582826,1.372074699923509e-05
w1,1,6.173283002455718,6.273283002455718,+,True,42.061603136507074,0.6915930907930549,0.04874579310629201,0.0003350978312962605,,,False,,0.027422940585886124,-1.5737440796415036e-05
w2,2,6.746757379733026,6.646757379733026,-,True,41.930478605222945,0.6918097753941818,-0.08237873817783736,0.0005517824324231535,,,False,,-0.10370159069824325,0.000200947160330478
w2,2,6.746757379733026,6.846757379733026,+,True,42.13618856466114,0.6913812031679242,0.12333122126035789,0.00012321020616556932,,,False,,0.102008368739952,-0.00022762506592710618
w3,3,6.953987786871101,6.853987786871102,-,True,41.925667839359214,0.6918917555838998,-0.087189504041568,0.0006337626221412096,,,False,,-0.10851235656197389,0.0002829273500485341
w3,3,6.953987786871101,7.053987786871101,+,True,42.14055445768811,0.6912925131384504,0.12769711428732933,3.452017669181018e-05,,,False,,0.10637426176692344,-0.00031631509540086533
w4,4,6.409389258245048,6.309389258245048,-,True,41.97099228512263,0.692078489704168,-0.04186505827815523,0.0008204967424093601,,,False,,-0.06318791079856112,0.0004696614703166846
w4,4,6.409389258245048,6.509389258245047,+,True,42.08900041173178,0.691003832675951,0.0761430683309996,-0.0002541602858076031,,,False,,0.05482021581059371,-0.0006049955579002786
w5,5,6.952129096974409,6.8521290969744095,-,True,41.93052394336956,0.6925141409127271,-0.08233340003122436,0.0012561479509685114,,,False,,-0.10365625255163025,0.0009053126788758359
w5,5,6.952129096974409,7.052129096974409,+,True,42.12770632782522,0.6905442662931681,0.11484898442444091,-0.0007137266685904864,,,False,,0.09352613190403503,-0.001064561940683162
w6,6,6.342915146631929,6.24291514663193,-,True,41.95355948165461,0.6920560109263041,-0.05929786174617391,0.0007980179645454832,,,False,,-0.0806207142665798,0.00044718269245280773
w6,6,6.342915146631929,6.442915146631929,+,True,42.11447996553496,0.6911586646968914,0.10162262213417961,-9.932826486724888e-05,,,False,,0.08029976961377372,-0.0004501635369599244
h1,1,5.6992852116951465,5.599285211695147,-,True,42.005016199574655,0.6916347842000179,-0.007841143826126995,0.0003767912382592886,42.07854282201696,0.6928454388847878,True,,-0.029163996346532883,2.595596616661311e-05
h1,1,5.6992852116951465,5.799285211695146,+,True,42.063544701088325,0.6915862068624256,0.05068735768754351,0.00032821390066695155,,,False,,0.029364505167137622,-2.2621371425723957e-05
h2,2,6.228727007317101,6.128727007317101,-,True,41.91956574558455,0.6917887759771154,-0.09329159781623275,0.000530783015356806,,,False,,-0.11461445033663864,0.00017994774326413054
h2,2,6.228727007317101,6.3287270073171005,+,True,42.14761472620312,0.6914105959773883,0.1347573828023414,0.00015260301562969314,,,False,,0.11343453028193551,-0.00019823225646298237
h3,3,6.4200458233094615,6.320045823309462,-,True,41.9061791231562,0.6917426344623532,-0.10667822024458218,0.00048464150059457367,,,False,,-0.12800107276498807,0.00013380622850189816
h3,3,6.4200458233094615,6.520045823309461,+,False,,,,,,,False,存在旋转时可能触地的镜面。,,
h4,4,5.917262727301275,5.817262727301276,-,True,41.94911634805967,0.6918435264984445,-0.06374099534111366,0.0005855335366858894,,,False,,-0.08506384786151955,0.00023469826459321386
h4,4,5.917262727301275,6.017262727301275,+,True,42.1192796306323,0.6913758203276662,0.10642228723151703,0.00011782736590759679,,,False,,0.08509943471111114,-0.00023300790618507872
h5,5,6.4183298475738395,6.31832984757384,-,True,41.876726368386684,0.6918433805690499,-0.13613097501409754,0.0005853876072913211,,,False,,-0.15745382753450343,0.0002345523351986456
h5,5,6.4183298475738395,6.518329847573839,+,True,42.18080764686931,0.6911987765643314,0.16795030346852968,-5.921639742723084e-05,,,False,,0.1466274509481238,-0.00041005166951990635
h6,6,5.855892639274124,5.7558926392741245,-,True,41.95963985107303,0.6923042561996707,-0.053217492327753746,0.0010462632379121262,,,False,,-0.07454034484815963,0.0006954279658194507
h6,6,5.855892639274124,5.955892639274124,+,True,42.10720061784434,0.6908923118751564,0.09434327444355972,-0.00036568108660217646,,,False,,0.07302042192315383,-0.000716516358694852
H1,1,2.910585252215359,2.810585252215359,-,False,,,,,,,False,存在旋转时可能触地的镜面。,,
H1,1,2.910585252215359,3.010585252215359,+,True,42.03307031106956,0.6915905667581157,0.020212967668776116,0.00033257379635709405,,,False,,-0.0011098848516297721,-1.8261475735581456e-05
H2,2,3.310585252215359,3.210585252215359,-,True,42.035032587189534,0.6916228530423179,0.022175243788751686,0.00036486008055924835,42.10862467161375,0.6928336994306306,True,,0.0008523912683457979,1.4024808466572836e-05
H2,2,3.310585252215359,3.410585252215359,+,True,42.03308453160988,0.6915908007355881,0.0202271882090983,0.000332807773829491,,,False,,-0.001095664311307587,-1.8027498263184505e-05
H3,3,3.2105852522153593,3.110585252215359,-,False,,,,,,,False,存在旋转时可能触地的镜面。,,
H3,3,3.2105852522153593,3.3105852522153594,+,True,42.02777769343562,0.6915034847438349,0.01492035003483494,0.0002454917820763347,,,False,,-0.006402502485570949,-0.0001053434900163408
H4,4,5.0105852522153596,4.91058525221536,-,True,42.02934762252419,0.6915293155513422,0.016490279123409834,0.00027132258958362243,,,False,,-0.004832573396996054,-7.951268250905308e-05
H4,4,5.0105852522153596,5.110585252215359,+,True,42.04300955881581,0.6917541020395294,0.030152215415029104,0.0004961090777707566,42.095502832424614,0.6926177994229804,False,,0.008829362894623216,0.00014527380567808112
H5,5,4.110585252215359,4.0105852522153596,-,True,42.03159553603575,0.691566301566591,0.01873819263497012,0.00030830860483244127,,,False,,-0.0025846598854357694,-4.252666726023424e-05
H5,5,4.110585252215359,4.210585252215359,+,True,42.03362655899503,0.6915997189760049,0.0207692155942496,0.000341726014246313,42.096468310304076,0.6926336849005084,False,,-0.0005536369261562868,-9.109257846362517e-06
H6,6,4.210585252215359,4.110585252215359,-,True,42.03909252372189,0.6916896531543876,0.026235180321108942,0.0004316601926289687,42.10086823612264,0.6927060790218047,False,,0.0049123278007030535,8.08249205362932e-05
H6,6,4.210585252215359,4.3105852522153585,+,True,42.03187052136484,0.6915708260340686,0.019013177964055217,0.0003128330723100037,,,False,,-0.0023096745563506715,-3.800219978267183e-05
